Line,Source,Target
Orange Line,74,64
Orange Line,64,110
Orange Line,110,8
Orange Line,8,100
Orange Line,100,34
Orange Line,34,72
Orange Line,72,53
Orange Line,53,97
Orange Line,97,39
Orange Line,39,31
Orange Line,31,105
Orange Line,105,10
Orange Line,10,65
Orange Line,65,88
Orange Line,88,87
Orange Line,87,56
Orange Line,56,98
Orange Line,98,48
Orange Line,48,46
Blue Line,112,84
Blue Line,84,12
Blue Line,12,99
Blue Line,99,75
Blue Line,75,113
Blue Line,113,1
Blue Line,1,66
Blue Line,66,5
Blue Line,5,97
Blue Line,97,47
Blue Line,47,19
Red Line,2,37
Red Line,37,79
Red Line,79,50
Red Line,50,27
Red Line,27,58
Red Line,58,28
Red Line,28,77
Red Line,77,39
Red Line,39,95
Red Line,95,24
Red Line,24,4
Red Line,4,57
Red Line,57,92
Red Line,92,45
Red Line,45,94
Red Line,94,7
Red Line_B,2,37
Red Line_B,37,79
Red Line_B,79,50
Red Line_B,50,27
Red Line_B,27,58
Red Line_B,58,28
Red Line_B,28,77
Red Line_B,77,39
Red Line_B,39,95
Red Line_B,95,24
Red Line_B,24,4
Red Line_B,4,57
Red Line_B,57,71
Red Line_B,71,111
Red Line_B,111,82
Red Line_B,82,81
Red Line_B,81,21
Green Line B,15,96
Green Line B,96,30
Green Line B,30,32
Green Line B,32,102
Green Line B,102,109
Green Line B,109,107
Green Line B,107,3
Green Line B,3,49
Green Line B,49,51
Green Line B,51,76
Green Line B,76,9
Green Line B,9,78
Green Line B,78,90
Green Line B,90,18
Green Line B,18,16
Green Line B,16,17
Green Line B,17,14
Green Line B,14,59
Green Line B,59,55
Green Line B,55,36
Green Line B,36,6
Green Line B,6,20
Green Line B,20,77
Green Line C,33,41
Green Line C,41,38
Green Line C,38,104
Green Line C,104,108
Green Line C,108,42
Green Line C,42,22
Green Line C,22,101
Green Line C,101,35
Green Line C,35,91
Green Line C,91,60
Green Line C,60,52
Green Line C,52,89
Green Line C,89,59
Green Line C,59,55
Green Line C,55,36
Green Line C,36,6
Green Line C,6,20
Green Line C,20,77
Green Line C,77,47
Green Line C,47,53
Green Line C,53,72
Green Line D,85,114
Green Line D,114,106
Green Line D,106,40
Green Line D,40,70
Green Line D,70,69
Green Line D,69,29
Green Line D,29,83
Green Line D,83,13
Green Line D,13,25
Green Line D,25,26
Green Line D,26,62
Green Line D,62,43
Green Line D,43,59
Green Line D,59,55
Green Line D,55,36
Green Line D,36,6
Green Line D,6,20
Green Line D,20,77
Green Line D,77,47
Green Line E,54,11
Green Line E,11,86
Green Line E,86,67
Green Line E,67,44
Green Line E,44,23
Green Line E,23,63
Green Line E,63,68
Green Line E,68,73
Green Line E,73,103
Green Line E,103,80
Green Line E,80,36
Green Line E,36,6
Green Line E,6,20
Green Line E,20,77
Green Line E,77,47
Green Line E,47,53
Green Line E,53,72
Green Line E,72,93
Green Line E,93,61
