Line,Source,Target
CAPE FLAT,11,99
CAPE FLAT,99,78
CAPE FLAT,78,41
CAPE FLAT,41,50
CAPE FLAT,50,60
CAPE FLAT,60,72
CAPE FLAT,72,31
CAPE FLAT,31,3
CAPE FLAT,3,15
CAPE FLAT,15,48
CAPE FLAT,48,95
CAPE FLAT,95,68
CAPE FLAT,68,81
CAPE FLAT,81,32
CAPE FLAT,32,74
CENTRAL LINE,11,99
CENTRAL LINE,99,78
CENTRAL LINE,78,41
CENTRAL LINE,41,50
CENTRAL LINE,50,60
CENTRAL LINE,60,72
CENTRAL LINE,72,47
CENTRAL LINE,47,7
CENTRAL LINE,7,61
CENTRAL LINE,61,33
CENTRAL LINE,33,65
CENTRAL LINE,65,71
CENTRAL LINE,71,86
CENTRAL LINE,86,52
CENTRAL LINE,52,63
CENTRAL LINE,63,64
CENTRAL LINE,64,39
CENTRAL LINE,39,45
CENTRAL LINE,45,13
NORTHERN LINE BELLVILLE,11,23
NORTHERN LINE BELLVILLE,23,102
NORTHERN LINE BELLVILLE,102,38
NORTHERN LINE BELLVILLE,38,12
NORTHERN LINE BELLVILLE,12,1
NORTHERN LINE BELLVILLE,1,55
NORTHERN LINE BELLVILLE,55,17
NORTHERN LINE BELLVILLE,17,4
NORTHERN LINE BELLVILLE,4,67
NORTHERN LINE BELLVILLE,67,5
NORTHERN LINE STRAND,11,99
NORTHERN LINE STRAND,99,78
NORTHERN LINE STRAND,78,41
NORTHERN LINE STRAND,41,50
NORTHERN LINE STRAND,50,98
NORTHERN LINE STRAND,98,59
NORTHERN LINE STRAND,59,88
NORTHERN LINE STRAND,88,27
NORTHERN LINE STRAND,27,91
NORTHERN LINE STRAND,91,22
NORTHERN LINE STRAND,22,70
NORTHERN LINE STRAND,70,90
NORTHERN LINE STRAND,90,5
NORTHERN LINE STRAND,5,44
NORTHERN LINE STRAND,44,6
NORTHERN LINE STRAND,6,54
NORTHERN LINE STRAND,54,20
NORTHERN LINE STRAND,20,49
NORTHERN LINE STRAND,49,92
NORTHERN LINE STRAND,92,19
NORTHERN LINE STRAND,19,42
NORTHERN LINE STRAND,42,58
NORTHERN LINE STRAND,58,40
NORTHERN LINE STRAND,40,69
NORTHERN LINE STRAND,69,35
NORTHERN LINE STRAND,35,16
NORTHERN LINE STRAND,16,53
NORTHERN LINE STRAND,53,94
SOUTHERN LINE,11,99
SOUTHERN LINE,99,78
SOUTHERN LINE,78,66
SOUTHERN LINE,66,56
SOUTHERN LINE,56,77
SOUTHERN LINE,77,76
SOUTHERN LINE,76,62
SOUTHERN LINE,62,14
SOUTHERN LINE,14,30
SOUTHERN LINE,30,37
SOUTHERN LINE,37,101
SOUTHERN LINE,101,96
SOUTHERN LINE,96,73
SOUTHERN LINE,73,84
SOUTHERN LINE,84,18
SOUTHERN LINE,18,32
SOUTHERN LINE,32,74
SOUTHERN LINE,74,83
SOUTHERN LINE,83,46
SOUTHERN LINE,46,24
SOUTHERN LINE,24,57
SOUTHERN LINE,57,82
SOUTHERN LINE,82,36
SOUTHERN LINE,36,25
SOUTHERN LINE,25,87
SOUTHERN LINE,87,26
SOUTHERN LINE,26,79
WORCESTER LINE,11,5
WORCESTER LINE,5,85
WORCESTER LINE,85,9
WORCESTER LINE,9,21
WORCESTER LINE,21,43
WORCESTER LINE,43,58
WORCESTER LINE,58,40
WORCESTER LINE,40,69
WORCESTER LINE,69,35
WORCESTER LINE,35,16
WORCESTER LINE,16,53
WORCESTER LINE,53,94
WORCESTER LINE,94,51
WORCESTER LINE,51,80
WORCESTER LINE,80,34
WORCESTER LINE,34,93
WORCESTER LINE,93,28
WORCESTER LINE,28,89
WORCESTER LINE,89,2
WORCESTER LINE,2,97
WORCESTER LINE,97,75
WORCESTER LINE,75,10
WORCESTER LINE,10,8
WORCESTER LINE,8,29
WORCESTER LINE,29,100
