ID,Node,Lat,Lon
1,Akasia Park,-33.885527,18.530267
2,Artois,-33.500545,19.358355
3,Athlone,-33.970734,18.502501
4,Avondale,-33.859938,18.582603
5,Bellville,-33.900582,18.630243
6,Blackheath,-33.94944,18.72237
7,Bonteheuwel,-33.944767,18.557665
8,Botha,-33.446473,19.580312
9,Brackenfell,-33.883962,18.696507
10,Breë River,-33.470726,19.514389
11,Cape Town,-33.924868,18.424055
12,Century City,-33.894827,18.506394
13,Chris Hani,-34.035056,18.682471
14,Claremont,-33.980199,18.464585
15,Crawford,-33.976891,18.50537
16,Dal Josafat,-33.744992,18.949943
17,De Grendel,-33.868314,18.562875
18,Dieprivier,-34.048535,18.452108
19,Du Toit,-33.978557,18.821651
20,Eerste River,-33.984096,18.731869
21,Eikenfontein,-33.882646,18.72727
22,Elsies River,-33.90954,18.586853
23,Esplanade,-33.910552,18.426789
24,False Bay,-34.093784,18.452988
25,Fish Hoek,-34.13707,18.435377
26,Glencairn,-34.157785,18.426667
27,Goodwood,-33.906289,18.569161
28,Gouda,-33.518971,19.271892
29,Goudini Rd,-33.459131,19.639842
30,Harfield Rd,-33.984418,18.468563
31,Hazendal,-33.93863,18.530684
32,Heathfield,-34.051337,18.452369
33,Heideveld,-33.962529,18.57511
34,Hermon,-33.551321,19.150546
35,Huguenot,-33.72399,18.961191
36,Kalk Bay,-34.126453,18.44868
37,Kenilworth,-33.999978,18.471458
38,Kentemade,-33.913853,18.494232
39,Khayelitsha,-34.048019,18.675472
40,Klapmuts,-33.80416,18.841203
41,Koeberg Rd,-33.937195,18.480069
42,Koelenhof,-33.930268,18.852548
43,Kraaifontein,-33.850119,18.722148
44,Kuils River,-33.927735,18.686967
45,Kuyasa,-34.05163,18.685021
46,Lakeside,-34.08275,18.45235
47,Langa,-33.938349,18.539811
48,Lansdowne,-33.986607,18.503117
49,Lynedoch,-33.997133,18.748843
50,Maitland,-33.925421,18.502653
51,Malan,-33.608623,19.064155
52,Mandalay,-34.03496,18.555497
53,Mbekweni,-33.737942,18.928149
54,Meltonrose,-33.971805,18.735805
55,Monte Vista,-33.876479,18.549105
56,Mowbray,-33.942207,18.476298
57,Muizenberg,-34.108231,18.46734
58,Muldersvlei,-33.90648,18.861453
59,Mutual,-33.923077,18.563278
60,Ndabeni,-33.938605,18.50687
61,Netreg,-33.952578,18.579462
62,Newlands,-33.976402,18.462895
63,Nolungile,-34.041979,18.542342
64,Nonkqubela,-34.059238,18.546332
65,Nyanga,-33.991186,18.575531
66,Observatory,-33.929477,18.468013
67,Oosterzee,-33.85309,18.599116
68,Ottery,-34.012015,18.480865
69,Paarl,-33.730918,18.964556
70,Parow,-33.906431,18.585244
71,Philippi,-34.002979,18.570996
72,Pinelands,-33.928475,18.506692
73,Plumstead,-34.021758,18.466493
74,Retreat,-34.057999,18.444179
75,Romans River,-33.492647,19.450365
76,Rondebosch,-33.964191,18.466769
77,Rosebank,-33.950135,18.474317
78,Salt River,-33.933209,18.460098
79,Simon's Town,-34.192489,18.43201
80,Soetendal,-33.576606,19.100619
81,Southfield,-34.028557,18.465203
82,St James,-34.124277,18.468726
83,Steenberg,-34.072829,18.448429
84,Steurhof,-34.032648,18.460272
85,Stikland,-33.883263,18.685603
86,Stock Road,-34.018799,18.559788
87,Sunny Cove,-34.139912,18.428185
88,Thornton,-33.92069,18.580073
89,Tulbaghweg,-33.515799,19.313511
90,Tygerberg,-33.901999,18.590346
91,Vasco,-33.898088,18.567762
92,Vlottenburg,-33.99693,18.766892
93,Voelvlei,-33.531389,19.172206
94,Wellington,-33.640506,19.008001
95,Wetton,-34.002181,18.485041
96,Wittebome,-34.007797,18.463937
97,Wolseley,-33.511758,19.292063
98,Woltemade,-33.925641,18.540729
99,Woodstock,-33.92584,18.443471
100,Worcester,-33.646997,19.448964
101,Wynberg,-34.004032,18.470112
102,Ysterplaat,-33.915606,18.481734
