ID,Node,Lat,Lon
1,Adarsh Nagar,77.17044577,28.71659809
2,AIIMS,77.20783174,28.56685563
3,Airport,77.08673537,28.55647483
4,Akshardham,77.27948427,28.61784837
5,Anand Vihar,77.31603742,28.64680043
6,Arjan Garh,77.12573469,28.48078058
7,Ashok Park Main,77.15528727,28.67157449
8,Azadpur,77.18266371,28.70634573
9,Badarpur,77.30302334,28.49316787
10,Badkhal Mor,77.31034979,28.42271226
11,Barakhamba Road,77.22499922,28.62975339
12,Bata Chowk,77.3134625,28.38583513
13,Bhikaji Cama Place,77.18788852,28.57020619
14,Botanical Garden,77.3343502,28.56391571
15,Bus Stand,76.93548093,28.69077932
16,Central Secretariat,77.21232042,28.61587054
17,Chandni Chowk,77.23036766,28.65841856
18,Chawri Bazar,77.22654015,28.64925315
19,Chhatarpur,77.1750176,28.50674872
20,Chirag Delhi,77.23029371,28.54111173
21,City Park,76.91920308,28.69746205
22,Dabri Mor,77.08520343,28.61574792
23,Dashrath Puri,77.08238389,28.60186865
24,Delhi Aerocity,77.12081149,28.54880018
25,Delhi Cantonment,77.14045562,28.60864429
26,Delhi Civil Lines,77.2248745,28.67678933
27,Delhi Gate,77.24081084,28.63922065
28,Dhaula Kuan,77.16170311,28.59188878
29,Dilshad Garden,77.32146822,28.67585864
30,Durgabai Deshmukh South Campus,77.16954697,28.58933006
31,Dwarka,77.0227848,28.61493459
32,Dwarka Mor,77.03328431,28.61928933
33,Dwarka Sector 10,77.05751538,28.58107353
34,Dwarka Sector 11,77.04945266,28.58646245
35,Dwarka Sector 12,77.04074621,28.59225264
36,Dwarka Sector 13,77.03355789,28.59702281
37,Dwarka Sector 14,77.02599406,28.60223194
38,Dwarka Sector 21,77.05855608,28.55191016
39,Dwarka Sector 8,77.06706405,28.56560712
40,Dwarka Sector 9,77.06535012,28.57428046
41,Escorts Mujesar,77.31492162,28.3702339
42,ESI Hospital - Basaidarapur,77.12725807,28.65806405
43,Faridabad Old,77.31140256,28.4108263
44,Ghevra Metro Station,76.99616221,28.68523569
45,Ghitorni,77.14918792,28.49377959
46,Govind Puri,77.26426408,28.54437537
47,Greater Kailash,77.23844688,28.54189924
48,Green Park,77.20682323,28.55800263
49,GTB Nagar,77.2064209,28.69815431
50,Guru Dronacharya,77.10227072,28.4819971
51,Haiderpur,77.14920133,28.7299925
52,Hauz Khas,77.20650689,28.54316878
53,HUDA City Centre,77.07268596,28.45933014
54,IFFCO Chowk,77.07244858,28.47233179
55,IIT Delhi,77.19452657,28.54702265
56,INA,77.20850493,28.57353504
57,Inderlok,77.17028551,28.67357803
58,Indraprastha,77.24954545,28.6205843
59,IndusInd Bank Cyber City,77.08916143,28.49806274
60,ITO,77.24104285,28.62818426
61,Jahangirpuri,77.16268346,28.72598812
62,Jama Masjid,77.23768473,28.65004403
63,Jamia Millia Islamia,77.28633941,28.56304731
64,Janakpuri East,77.08672464,28.63298693
65,Janakpuri West,77.07809329,28.62956387
66,Jangpura,77.2393477,28.58304259
67,Janpath,77.2192888,28.62404414
68,Jasola Apollo,77.28323266,28.53810892
69,Jasola Vihar Shaheen Bagh,77.29665806,28.5458249
70,Jawaharlal Nehru Stadium,77.23380491,28.58824771
71,Jhandewalan,77.19990313,28.64430057
72,Jhilmil,77.31240839,28.67574215
73,Jor Bagh,77.21256316,28.58659435
74,Kailash Colony,77.24198163,28.55534517
75,Kalindi Kunj,77.31011562,28.5429159
76,Kalkaji Mandir,77.25794215,28.5510686
77,Kanhiya Nagar,77.16474943,28.68237924
78,Karkarduma,77.30551109,28.64835516
79,Karol Bagh,77.18852386,28.64398985
80,Kashmere Gate,77.22825039,28.66749139
81,Kaushambi,77.32434556,28.64532689
82,Keshav Puram,77.16173127,28.68878649
83,Khan Market,77.22913921,28.60226491
84,Kirti Nagar,77.15124585,28.65539764
85,Kohat Enclave,77.14051064,28.69800432
86,Lajpat Nagar,77.23641872,28.57056811
87,Lal Qila,77.23668694,28.65748181
88,Laxmi Nagar,77.27757454,28.63055149
89,Madipur,77.11934969,28.67644224
90,Majlis Park,77.18197094,28.7240069
91,Malviya Nagar,77.20485449,28.52906969
92,Mandi House,77.23419651,28.6255427
93,Mansarovar Park,77.30102509,28.67538681
94,Mayapuri,77.1297355,28.6371717
95,Mayur Vihar Extension,77.29446173,28.59452177
96,Mayur Vihar-I,77.2895211,28.6040546
97,Mewla Maharajpur,77.30809137,28.44861802
98,MG Road,77.07988501,28.47956052
99,Micromax Moulsari Avenue,77.09463045,28.50077704
100,Model Town,77.1936556,28.70290201
101,Modern Industrial Estate,76.95119313,28.68927686
102,Mohan Estate,77.29459047,28.51972332
103,Moolchand,77.23428503,28.56454233
104,Moti Nagar,77.14244485,28.65784074
105,Mundka,77.03057393,28.68240395
106,Mundka Industrial Area (MIA),77.01713303,28.68344612
107,Munirka,77.1750556,28.55689916
108,Nangloi,77.06473589,28.68236983
109,Nangloi Railway station,77.05624402,28.68216746
110,Naraina Vihar,77.13645306,28.62438004
111,Nawada,77.04508469,28.6202535
112,Neelam Chowk Ajronda,77.31235608,28.39748323
113,Nehru Enclave,77.25150396,28.54605684
114,Nehru Place,77.2517395,28.55143778
115,Netaji Subhash Place,77.15523286,28.69712056
116,New Ashok Nagar,77.30151057,28.58904965
117,New Delhi,77.22277164,28.64347316
118,NHPC Chowk,77.30739534,28.45777851
119,Nirman Vihar,77.28679597,28.63649462
120,Noida City Centre,77.35621154,28.57468443
121,Noida Golf Course,77.34635845,28.5673727
122,Noida Sector 15,77.31163189,28.58489856
123,Noida Sector 16,77.31779695,28.57810103
124,Noida Sector 18,77.32609436,28.5707754
125,Okhla,77.27556288,28.54312659
126,Okhla Bird Sanctuary,77.32160041,28.55294232
127,Okhla NSIC,77.26472453,28.55437387
128,Okhla Vihar,77.29192505,28.56129899
129,Palam,77.08307408,28.58892
130,Panchsheel Park,77.22109378,28.54237363
131,Paschim Vihar East,77.11228743,28.67736822
132,Paschim Vihar West,77.10221708,28.67862482
133,Patel Chowk,77.21405983,28.62295287
134,Patel Nagar,77.16930449,28.64503618
135,Peera Garhi,77.09267378,28.67977316
136,Phase 1,77.09397465,28.47142993
137,Phase 2,77.09299967,28.48756318
138,Phase 3,77.09365949,28.49356861
139,Pitam Pura,77.13247441,28.70311551
140,Pragati Maidan,77.2425127,28.62346143
141,Pratap Nagar,77.19906561,28.66663091
142,Preet Vihar,77.29526103,28.64144168
143,Pul Bangash,77.20736839,28.66640263
144,Punjabi Bagh East,77.1461235,28.67296177
145,Punjabi Bagh West,77.13921389,28.67276483
146,Qutab Minar,77.18646392,28.51297225
147,R.K Puram,77.18551581,28.55037908
148,Race Course,77.21112549,28.59735368
149,Rajdhani Park,77.04394206,28.68227688
150,Rajendra Place,77.17827916,28.64247861
151,Rajiv Chowk,77.21976221,28.63271384
152,Rajouri Garden,77.12480085,28.65011336
153,Ramakrishna Ashram Marg,77.20856532,28.63922536
154,Ramesh Nagar,77.131657,28.65272734
155,Rithala,77.10712049,28.72082512
156,Rohini East,77.12592311,28.70763539
157,Rohini Sector 18,77.13983238,28.73834652
158,Rohini West,77.11540181,28.7149147
159,Sadar Bazaar Cantonment,77.11116652,28.57716907
160,Saket,77.20136762,28.52055642
161,Samaypur Badli,77.13826597,28.74461513
162,Sarai,77.30491698,28.47797147
163,Sarita Vihar,77.2883302,28.52857365
164,Sarojini Nagar,77.19857057,28.57581097
165,Satguru Ramsingh Marg,77.15747595,28.66193599
166,Sector 28,77.30906367,28.4381619
167,Sector 42-43,77.09696665,28.45742833
168,Sector 53-54,77.10046425,28.44638349
169,Sector 54 Chowk,77.10493416,28.43298593
170,Sector 55-56,77.10521042,28.42329727
171,Seelampur,77.2667411,28.66981418
172,Shadipur,77.15828061,28.65162107
173,Shahdara,77.28978395,28.6734436
174,Shakurpur,77.14961418,28.68576515
175,Shalimar Bagh,77.16544891,28.70196206
176,Shankar Vihar,77.14026213,28.56084781
177,Shastri Nagar,77.18185086,28.67005158
178,Shastri Park,77.25032598,28.66848335
179,Shivaji Park,77.1304661,28.67499617
180,Shivaji Stadium,77.21131459,28.62891409
181,Sikanderpur,77.09442928,28.48161399
182,Sir Vishweshwaraiah Moti Bagh,77.1757302,28.57850527
183,South Extension,77.22026554,28.56861497
184,Subhash Nagar,77.10523725,28.64046358
185,Sukhdev Vihar,77.27498706,28.5597681
186,Sultanpur,77.16001198,28.498599
187,Surajmal Stadium,77.07399353,28.68184979
188,Tagore Garden,77.11287081,28.6437321
189,Terminal 1 IGI Airport,77.12265111,28.56485937
190,Tikri Border,76.96408029,28.68802437
191,Tikri Kalan,76.97720795,28.68686001
192,Tilak Nagar,77.09648117,28.63652758
193,Tis Hazari,77.21663844,28.66717161
194,Tughlakabad,77.29924142,28.50236221
195,Udyog Bhawan,77.21182287,28.60951416
196,Udyog Nagar,77.0808506,28.68107562
197,Uttam Nagar East,77.06529781,28.62483286
198,Uttam Nagar West,77.0557183,28.62173798
199,Vaishali,77.33955905,28.64971097
200,Vasant Vihar,77.1610936,28.55782993
201,Vidhan Sabha,77.22175777,28.68632999
202,Vishwa Vidyalaya,77.21473038,28.69505689
203,Vodafone Belvedere Towers,77.08821595,28.4917016
204,Welcome,77.27771468,28.67173716
205,Yamuna Bank,77.26784885,28.62320715
