ID,Node,Lat,Lon
0,abbeyroad,51.53195199,0.003737786
1,westham,51.52852552,0.005331807
2,actoncentral,51.50875781,-0.263415792
3,willesdenjunction,51.53223399,-0.243894729
4,actontown,51.50307148,-0.280288296
5,chiswickpark,51.49437075,-0.26772252
6,turnhamgreen,51.49518197,-0.254510165
7,aldgate,51.51434239,-0.075612504
8,liverpoolstreet,51.51759827,-0.082235212
9,aldgateeast,51.51508163,-0.072987054
10,whitechapel,51.51958779,-0.059406075
11,allsaints,51.51047693,-0.012610478
12,poplar,51.50758807,-0.017261086
13,alperton,51.54120931,-0.299501341
14,parkroyal,51.52683405,-0.284914505
15,amersham,51.67412939,-0.606499331
16,chalfont&latimer,51.66790755,-0.56105332
17,anerley,51.41251673,-0.065122723
18,norwoodjunction,51.39695433,-0.075195484
19,angel,51.53296803,-0.105567034
20,oldstreet,51.52558148,-0.087608545
21,archway,51.56549055,-0.135107152
22,tufnellpark,51.55644081,-0.137727753
23,arnosgrove,51.61623016,-0.134255778
24,southgate,51.63237586,-0.127755601
25,arsenal,51.55854139,-0.105485511
26,finsburypark,51.56463546,-0.105867061
27,bakerstreet,51.52312964,-0.156889783
28,bondstreet,51.51379754,-0.149599201
29,edgwareroad(circleline),51.51999806,-0.167653844
30,greatportlandstreet,51.52378881,-0.143947013
31,regentspark,51.52381069,-0.145329999
32,balham,51.44318258,-0.152670777
33,tootingbec,51.43583808,-0.159686108
34,bank,51.51334707,-0.088985715
35,londonbridge,51.50467436,-0.085991192
36,shadwell,51.51130016,-0.056904799
37,barbican,51.5202153,-0.097707168
38,farringdon,51.5201957,-0.104828651
39,moorgate,51.51843715,-0.089003278
40,barking,51.5395211,0.080846027
41,upney,51.53840563,0.101546161
42,barkingside,51.5858506,0.088491071
43,fairlop,51.59610953,0.090607714
44,baronscourt,51.49022871,-0.213415744
45,earlscourt,51.4913567,-0.194299408
46,westkensington,51.49010939,-0.206189293
47,bayswater,51.51211131,-0.187887166
48,nottinghillgate,51.50937536,-0.195907211
49,paddington,51.51539381,-0.175722343
50,becktonpark,51.50890079,0.054836346
51,cyprus,51.50852657,0.063855163
52,becontree,51.53958539,0.126894709
53,dagenhamheathway,51.54121177,0.147694138
54,belsizepark,51.5501909,-0.163960072
55,chalkfarm,51.5441491,-0.153718653
56,bermondsey,51.49796079,-0.064315686
57,canadawater,51.49816842,-0.050792717
58,bethnalgreen,51.52719175,-0.055377699
59,mileend,51.52531097,-0.032651672
60,blackfriars,51.51158694,-0.102980977
61,mansionhouse,51.51209176,-0.09418325
62,blackhorseroad,51.58577663,-0.03961128
63,walthamstowcentral,51.58301812,-0.019926114
64,walthamstowqueensroad,51.58154619,-0.023829513
65,blackwall,51.50783154,-0.007220759
66,eastindia,51.50868401,-0.002355924
67,greenpark,51.5067605,-0.142463169
68,oxfordcircus,51.51522342,-0.140821762
69,borough,51.50104888,-0.094182918
70,elephant&castle,51.49584939,-0.100724312
