ID,Node,Lat,Lon
1,1 Avenue / 14 Street,-73.982167,40.731432
2,103 Street / Central Park West,-73.961453,40.796088
3,103 Street-Corona Plaza,-73.862687,40.749798
4,103rd Street (Line 4),-73.947679,40.790189
5,103rd Street / Broadway,-73.968321,40.799149
6,104 Street / Jamaica Avenue,-73.844331,40.695177
7,104 Street / Liberty Avenue,-73.838846,40.681332
8,110th Street (Line 4),-73.944632,40.794823
9,111 Street (Line 7),-73.855334,40.751729
10,111 Street / Jamaica Avenue,-73.83707,40.696808
11,111 Street / Liberty Avenue,-73.830947,40.684892
12,116 Street,-73.955542,40.804639
13,116 Street / 8 Avenue,-73.955542,40.80464
14,116th Street (Line 4),-73.941633,40.798636
15,116th Street / Lenox Avenue,-73.949745,40.802212
16,116th Street-Columbia University / Broadway,-73.963581,40.808119
17,121 Street / Jamaica Avenue,-73.828273,40.700514
18,125 Street,-73.952832,40.810754
19,125th Street (Line 4),-73.937221,40.804402
20,125th Street / Broadway,-73.958193,40.815661
21,125th Street / Lenox Avenue,-73.945736,40.807698
22,135 Street,-73.948243,40.817126
23,135 Street / Saint Nicholas Avenue,-73.948241,40.817125
24,135th Street / Lenox Avenue,-73.940628,40.814162
25,137 Street-City College / Broadway,-73.954137,40.821417
26,138th Street–Grand Concourse,-73.92968,40.813122
27,14 Street,-74.002804,40.73974
28,14 Street / 6 Avenue,-73.996979,40.737524
29,145 Street,-73.94445,40.824044
30,145th Street (Line 3),-73.93649,40.820371
31,145th Street / Broadway,-73.950539,40.826642
32,149th Street-Grand Concourse,-73.927105,40.818421
33,149th Street–Grand Concourse (Line 4),-73.927246,40.818266
34,14th Street / 7 Avenue,-73.999719,40.738766
35,14th Street–Union Square,-73.991058,40.735283
36,15 Street-Prospect Park / Prospect Park West,-73.979478,40.660673
37,155 Street / 8 Avenue,-73.936711,40.830327
38,155 Street / Saint Nicholas Avenue,-73.941562,40.831095
39,157th Street / Broadway,-73.945093,40.83423
40,161 Street-Yankee Stadium / River Avenue,-73.925098,40.827532
41,161st Street–Yankee Stadium,-73.925647,40.827983
