ID,Node,Lat,Lon,
1,Abbesses,2.337928712,48.88456773,
2,Alésia,2.327042967,48.8280328,
3,Alexandre Dumas,2.394917607,48.85592397,
4,Alma - Marceau,2.300627232,48.8649692,
5,Anatole France,2.285032868,48.89204905,
6,Anvers,2.344253361,48.88288772,
7,Argentine,2.289365977,48.87558232,
8,Arts et Métiers,2.356132865,48.86544136,
9,Asnières Gennevilliers Les Courtilles,2.284187973,48.93075624,
10,Assemblée Nationale,2.321054935,48.86069833,
11,Aubervilliers - Pantin - Quatre Chemins,2.392251492,48.90362666,
12,Avenue Émile Zola,2.295316458,48.84701461,
13,Avron,2.397927046,48.85200161,
14,Balard,2.278379649,48.83639825,
15,Barbès - Rochechouart,2.349628508,48.88374404,
16,Basilique de Saint-Denis,2.359415889,48.9367829,
17,Bastille,2.368857265,48.8529873,
18,Bel-Air,2.400898933,48.84133318,
19,Belleville,2.376978993,48.87205492,
20,Bérault,2.429265976,48.8454463,
21,Bercy,2.379110008,48.84030842,
22,Bibliothèque François Mitterrand,2.376859635,48.82998551,
23,Billancourt,2.237356603,48.83173792,
24,Bir-Hakeim,2.289379388,48.85388897,
25,Blanche,2.333634496,48.88348917,
26,Bobigny - Pantin Raymond Queneau,2.425194383,48.89543555,
27,Bobigny Pablo Picasso,2.44922027,48.90640345,
28,Boissière,2.290080786,48.86701504,
29,Bolivar,2.373905182,48.88092966,
30,Bonne Nouvelle,2.348707169,48.8705465,
31,Botzaris,2.38858223,48.87949136,
32,Boucicaut,2.28792429,48.84108268,
33,Boulogne – Jean Jaurès,2.238743305,48.84197662,
34,Boulogne – Pont de Saint-Cloud,2.228545547,48.84074551,
35,Bourse,2.341470569,48.86862871,
36,Bréguet Sabin,2.370434403,48.85663234,
37,Brochant,2.320206016,48.89055781,
38,Buttes Chaumont,2.381190062,48.87839506,
39,Buzenval,2.401376367,48.85181523,
40,Cadet,2.344308347,48.87594307,
41,Cambronne,2.30294466,48.84752277,
42,Campo-Formio,2.358927727,48.83565658,
43,Cardinal Lemoine,2.351771593,48.84652744,
44,Carrefour Pleyel,2.343301177,48.91957391,
45,Censier - Daubenton,2.351931185,48.8406493,
46,Champs-Élysées-Clemenceau,2.313882709,48.867803,
47,Chardon Lagache,2.267169356,48.84541453,
48,Charenton – Écoles,2.413782924,48.82156266,
49,Charles de Gaulle-Étoile,2.295091152,48.87417191,
50,Charles Michels,2.285880446,48.84652744,
51,Charonne,2.385358214,48.85474403,
52,Château de Vincennes,2.4389112,48.84457873,
53,Château d’Eau,2.356304526,48.87289026,
54,Château Rouge,2.349574864,48.88728649,
55,Château-Landon,2.362461537,48.87889603,
56,Châtelet,2.348011136,48.858075,
57,Châtillon — Montrouge,2.301587462,48.81081002,
58,Chaussée d'Antin - La Fayette,2.333258986,48.87296788,
59,Chemin Vert,2.368106246,48.85744783,
60,Chevaleret,2.368079424,48.83495302,
61,Cité,2.347549796,48.85529482,
62,Cluny – La Sorbonne,2.344206423,48.85106884,
63,Colonel Fabien,2.371019125,48.87742045,
64,Commerce,2.293846607,48.84467758,
65,Concorde,2.322374582,48.86621506,
66,Convention,2.29663074,48.83730922,
67,Corentin Cariou,2.382304519,48.89472949,
68,Corentin Celton,2.279373407,48.82705368,
69,Corvisart,2.350458652,48.82979129,
70,Cour Saint-Émilion,2.385953665,48.83354607,
71,Courcelles,2.304375619,48.87939611,
72,Couronnes,2.380578518,48.86904421,
73,Créteil – L'Échat,2.44923234,48.79635221,
74,Créteil – Pointe du Lac,2.464386821,48.76872134,
75,Créteil – Préfecture,2.459451556,48.77975412,
76,Créteil – Université,2.450518459,48.78991685,
77,Crimée,2.377370596,48.89084897,
78,Croix de Chavaux,2.435755581,48.85794618,
79,Danube,2.393361926,48.88194406,
80,Daumesnil,2.39595294,48.83956786,
81,Denfert-Rochereau,2.332624644,48.83426112,
82,Dugommier,2.389671206,48.83904619,
83,Dupleix,2.293665558,48.85041122,
84,Duroc,2.316640019,48.84685575,
85,École Militaire,2.306073457,48.85466302,
86,École Vétérinaire de Maisons-Alfort,2.421728969,48.81502015,
87,Edgar Quinet,2.325029969,48.84111075,
88,Église d'Auteuil,2.268692851,48.8473385,
89,Église de Pantin,2.413310856,48.89325597,
90,Esplanade de La Défense,2.249488235,48.88825738,
91,Étienne Marcel,2.349872589,48.8640342,
92,Europe,2.32226193,48.87876902,
93,Exelmans,2.260045409,48.84300311,
94,Faidherbe – Chaligny,2.384220958,48.85015989,
95,Falguière,2.317562699,48.84439427,
96,Félix Faure,2.291779965,48.84267848,
97,Filles du Calvaire,2.366613597,48.86332135,
98,Fort d'Aubervilliers,2.403806448,48.91425784,
99,Franklin D. Roosevelt,2.309929132,48.86903451,
100,Front Populaire,2.365917563,48.90656494,
101,Gabriel Péri,2.294666022,48.91640302,
102,Gaîté,2.322487235,48.8386331,
103,Gallieni,2.41667971,48.8653355,
104,Gambetta,2.398120165,48.86492614,
105,Gare de Lyon,2.372553349,48.84517094,
106,Gare de l’Est,2.357787788,48.87639026,
107,Gare du Nord,2.357286215,48.87950547,
108,Gare d’Austerlitz,2.365503162,48.84233673,
109,Garibaldi,2.331869602,48.90620423,
110,Georges V,2.300424725,48.87207344,
111,Glacière,2.343487591,48.83113937,
112,Goncourt,2.371083498,48.86995371,
113,Grands Boulevards,2.343494296,48.8714392,
114,Guy Môquet,2.327395678,48.89270577,
115,Havre - Caumartin,2.326998711,48.87372294,
116,Hoche,2.402539104,48.89128086,
117,Hôtel de Ville,2.351290137,48.85755194,
118,Iéna,2.29377687,48.86467188,
119,Invalides,2.31451571,48.8628324,
120,Jacques Bonsergent,2.360756993,48.87111882,
121,Jasmin,2.268179208,48.85255914,
122,Jaurès,2.37024799,48.88245558,
123,Javel – André Citroën,2.278305888,48.84615941,
124,Jourdain,2.389354706,48.8750822,
125,Jules Joffrin,2.344636917,48.89246259,
126,Jussieu,2.354818583,48.84603127,
127,Kléber,2.293508649,48.8716772,
128,La Chapelle,2.360306382,48.88440899,
129,La Courneuve - 8 Mai 1945,2.410769463,48.92075743,
130,La Défense,2.237766981,48.89196881,
131,La Fourche,2.325780988,48.88717168,
132,La Motte Picquet-Grenelle,2.298190445,48.84897981,
133,La Muette,2.274196744,48.8580803,
134,La Tour-Maubourg,2.310320735,48.85756077,
135,Lamarck – Caulaincourt,2.338827252,48.88975468,
136,Laumière,2.379462719,48.8851637,
137,Le Kremlin-Bicêtre,2.362237573,48.81032975,
138,Le Peletier,2.340361476,48.87492608,
139,Ledru-Rollin,2.376029491,48.85129564,
140,Les Agnettes,2.286202312,48.92311558,
141,Les Gobelins,2.35275194,48.83564616,
142,Les Halles,2.345795631,48.86253349,
143,Les Sablons,2.27200672,48.88090602,
144,Liberté,2.406197637,48.8264074,
145,Liège,2.327025533,48.87960408,
146,Louis Blanc,2.365934998,48.88158865,
147,Louise Michel,2.28847146,48.88827855,
148,Lourmel,2.282148153,48.83873567,
149,Louvre-Rivoli,2.341127247,48.86080597,
150,Mabillon,2.334947437,48.85289818,
151,Madeleine,2.325169444,48.86944383,
152,Mairie d'Issy,2.27317214,48.82414799,
153,Mairie d'Ivry,2.383995652,48.81098948,
154,Mairie de Clichy,2.305986285,48.90322908,
155,Mairie de Montreuil,2.441566586,48.86259772,
156,Mairie de Montrouge,2.319520712,48.81823455,
157,Mairie de Saint-Ouen,2.333901376,48.91192836,
158,Mairie des Lilas,2.416471839,48.87975948,
159,Maison Blanche,2.358502597,48.82247302,
160,Maisons-Alfort – Les Juilliottes,2.445605993,48.80332998,
161,Maisons-Alfort – Stade,2.434720248,48.80903586,
162,Malakoff Plateau de Vanves,2.298481464,48.82250198,
163,Malakoff Rue Étienne Dolet,2.297027707,48.81533877,
164,Malesherbes,2.309225053,48.88285773,
165,Maraîchers,2.406107783,48.85270121,
166,Marcadet Poissonniers,2.34972775,48.89148561,
167,Marcel Sembat,2.243592739,48.83364565,
168,Marx Dormoy,2.359995246,48.89050508,
169,Maubert – Mutualité,2.348778248,48.84994721,
170,Ménilmontant,2.383668423,48.86632357,
171,Michel Bizot,2.402459979,48.83706824,
172,Michel-Ange - Auteuil,2.264133096,48.84794285,
173,Michel-Ange - Molitor,2.261896133,48.84524137,
174,Mirabeau,2.271713018,48.84680191,
175,Miromesnil,2.31446743,48.87368484,
176,Monceau,2.308593392,48.88029218,
177,Montgallet,2.390196919,48.84430336,
178,Montparnasse Bienvenüe,2.3228091,48.84287866,
179,Mouton-Duvernet,2.329852581,48.83128522,
180,Nation,2.395895272,48.84837812,
181,Nationale,2.362854481,48.83319808,
182,Notre-Dame-de-Lorette,2.338541597,48.87599246,
183,Notre-Dame-des-Champs,2.328677773,48.84527332,
184,Oberkampf,2.369472831,48.86408167,
185,Odéon,2.33939454,48.8523087,
186,Olympiades,2.366417795,48.8270332,
187,Opéra,2.332330942,48.87064265,
188,Ourcq,2.38667652,48.88706233,
189,Palais Royal-Musée du Louvre,2.336043119,48.86249114,
190,Parmentier,2.373910546,48.86537784,
191,Passy,2.285778522,48.85750059,
192,Pasteur,2.312605977,48.84292367,
193,Pelleport,2.401318699,48.86809853,
194,Père Lachaise,2.387434244,48.8629508,
195,Pereire,2.298979014,48.88470177,
196,Pernety,2.31810987,48.83393432,
197,Philippe Auguste,2.390163392,48.85825694,
198,Picpus,2.401081324,48.84507721,
199,Pierre et Marie Curie,2.377343774,48.8159006,
200,Pigalle,2.337200493,48.88241589,
201,Place de Clichy,2.327229381,48.88343185,
202,Place des Fêtes,2.393526882,48.87692829,
203,Place d’Italie,2.355880737,48.83087806,
204,Place Monge,2.352275848,48.84290444,
205,Plaisance,2.314027548,48.83177942,
206,Poissonnière,2.349334806,48.877237,
207,Pont de LevalloisBécon,2.280398011,48.89714265,
208,Pont de Neuilly,2.259639055,48.88499808,
209,Pont de Sèvres,2.230873704,48.82966062,
210,Pont Marie,2.35658884,48.85378767,
211,Pont Neuf,2.34226048,48.85855341,
212,Porte d'Auteuil,2.258649319,48.84794568,
