Line,Source,Target
Line_1,304,272
Line_1,272,145
Line_1,145,128
Line_1,128,229
Line_1,229,13
Line_1,13,224
Line_1,224,307
Line_1,307,89
Line_1,89,24
Line_1,24,259
Line_1,259,256
Line_1,256,200
Line_1,200,303
Line_1,303,87
Line_1,87,227
Line_1,227,194
Line_1,194,310
Line_1,310,223
Line_1,223,276
Line_1,276,199
Line_1,199,74
Line_1,74,270
Line_1,270,110
Line_1,110,73
Line_1,73,5
Line_1,5,284
Line_1,284,69
Line_2,60,96
Line_2,96,95
Line_2,95,249
Line_2,249,10
Line_2,10,274
Line_2,274,162
Line_2,162,337
Line_2,337,118
Line_2,118,124
Line_2,124,281
Line_2,281,200
Line_2,200,58
Line_2,58,166
Line_2,166,46
Line_2,46,19
Line_2,19,228
Line_2,228,20
Line_2,20,160
Line_2,160,327
Line_2,327,130
Line_2,130,75
Line_2,75,265
Line_2,265,172
Line_2,172,56
Line_2,56,30
Line_2,30,148
Line_2,148,319
Line_2,319,84
Line_2,84,204
Line_3,229,241
Line_3,241,155
Line_3,155,16
Line_3,16,316
Line_3,316,97
Line_3,97,282
Line_3,282,337
Line_3,337,134
Line_3,134,17
Line_3,17,333
Line_3,333,338
Line_3,338,227
Line_3,227,6
Line_3,6,45
Line_3,45,92
Line_3,92,28
Line_3,28,32
Line_3,32,120
Line_3,120,283
Line_3,283,255
Line_3,255,248
Line_3,248,326
Line_3,326,247
Line_3,247,242
Line_3,242,7
Line_3,7,318
Line_3,318,268
Line_3,268,189
Line_4,316,97
Line_4,97,282
Line_4,282,337
Line_4,337,134
Line_4,134,17
Line_4,17,333
Line_4,333,338
Line_4,338,227
Line_4,227,6
Line_4,6,83
Line_4,83,150
Line_4,150,36
Line_4,36,311
Line_4,311,203
Line_4,203,19
Line_4,19,201
Line_4,201,140
Line_4,140,264
Line_4,264,184
Line_4,184,261
Line_4,261,163
Line_4,163,37
Line_4,37,44
Line_4,44,230
Line_4,230,224
Line_4,224,316
Line5_1,304,31
Line5_1,31,315
Line5_1,315,341
Line5_1,341,9
Line5_1,9,113
Line5_1,113,48
Line5_1,48,131
Line5_1,131,104
Line5_1,104,275
Line5_1,275,179
Line5_2,304,31
Line5_2,31,315
Line5_2,315,341
Line5_2,341,9
Line5_2,9,113
Line5_2,113,48
Line5_2,48,114
Line5_2,114,296
Line5_2,296,295
Line5_2,295,65
Line5_2,65,101
Line5_2,101,273
Line5_2,273,125
Line5_2,125,67
Line_6,71,191
Line_6,191,85
Line_6,85,260
Line_6,260,340
Line_6,340,291
Line_6,291,50
Line_6,50,138
Line_6,138,288
Line_6,288,12
Line_6,12,133
Line_6,133,322
Line_6,322,40
Line_6,40,11
Line_6,11,182
Line_6,182,320
Line_6,320,19
Line_6,19,202
Line_6,202,140
Line_6,140,221
Line_6,221,151
Line_6,151,277
Line_6,277,53
Line_6,53,72
Line_6,72,278
Line_6,278,235
Line_6,235,257
Line_6,257,196
Line_7,171,167
Line_7,167,197
Line_7,197,152
Line_7,152,77
Line_7,77,209
Line_7,209,232
Line_7,232,183
Line_7,183,219
Line_7,219,25
Line_7,25,33
Line_7,33,299
Line_7,299,35
Line_7,35,298
Line_7,298,141
Line_7,141,333
Line_7,333,23
Line_7,23,21
Line_7,21,124
Line_7,124,24
Line_7,24,330
Line_7,330,44
Line_7,44,176
Line_7,176,99
Line_7,99,22
Line_7,22,313
Line_7,313,323
Line_7,323,277
Line_7,277,262
Line_7,262,135
Line_7,135,64
Line_7,64,160
Line_7,160,100
Line_8,240,186
Line_8,186,293
Line_8,293,102
Line_8,102,178
Line_8,178,103
Line_8,103,117
Line_8,117,2
Line_8,2,246
Line_8,246,214
Line_8,214,92
