ID,Node,Lat,Lon
1,Aiguo Road,31.279787,121.552656
2,Anshan Xincun,31.273247,121.50973
3,Anting,31.288496,121.161985
4,Baiyin Road,31.345187,121.24542
5,Bao'an Highway,31.369566,121.43098
6,Baoshan Road,31.251571,121.476368
7,Baoyang Road,31.395314,121.479582
8,Beicai,31.18215741,121.547808
9,Beiqiao,31.045066,121.410087
10,Beixinjing,31.216602,121.374201
11,Beiyangjing Road,31.23912,121.55226
12,Boxing Road,31.2635,121.586688
13,Caobao Road,31.168236,121.434976
14,Caohejing Hi-Tech Park,31.170624,121.397809
15,Caolu,31.27341121,121.6784927
16,Caoxi Road,31.176735,121.438365
17,Caoyang Road,31.23941,121.417883
18,Caoying Road,31.16232117,121.0919575
19,Century Avenue,31.228977,121.526849
20,Century Park,31.209546,121.550866
21,Changping Road,31.233884,121.442526
22,Changqing Road,31.174558,121.486015
23,Changshou Road,31.240894,121.438399
24,Changshu Road,31.213524,121.44914
25,Changzhong Road,31.303863,121.413694
26,Chenchun Road,31.17698265,121.5538541
27,Chengshan Road,31.170814,121.496228
28,Chifeng Road,31.28125,121.48249
29,China Art Museum,31.18541,121.493625
30,Chuansha,31.186745,121.698236
31,Chunshen Road,31.098204,121.385783
32,Dabaishu,31.289551,121.483223
33,Dachang Town,31.29332,121.416548
34,Daduhe Road,31.231775,121.394894
35,Dahuasan Road,31.27387,121.423046
36,Dalian Road,31.257937,121.513088
37,Damuqiao Road,31.194003,121.463315
38,Dapuqiao,31.206312,121.468689
39,Dashijie,31.227181,121.479325
40,Deping Road,31.245394,121.564231
41,Dianshanhu Avenue,31.13535329,121.0760793
42,Dishui Lake,30.907267,121.929559
43,Disney Resort,31.1434,121.66375
44,Dong'an Road,31.190814,121.45487
45,Dongbaoxing Road,31.259782,121.480246
46,Dongchang Road,31.233316,121.515413
47,Dongchengyi Road,31.03266357,121.5278032
48,Dongchuan Road,31.018222,121.419861
49,Dongjing,31.084487,121.230472
50,Dongjing Road,31.290667,121.588846
51,Donglan Road,31.1577,121.38715
52,Donglu Road,31.282531,121.578907
53,Dongming Road,31.172645,121.510868
54,East Changji Road,31.293554,121.200384
55,East Hangtou,31.054905,121.617434
56,East Huaxia Road,31.196573,121.681101
57,East Huinan,31.026555,121.7938
58,East Nanjing Road,31.238072,121.48464
59,East Sanlin,31.146452,121.522974
60,East Xujing,31.188285,121.299326
61,East Yingao Road,31.321776,121.506814
62,East Zhoupu,31.109954,121.606907
63,Fangdian Road,31.23439983,121.5544187
64,Fanghua Road,31.193159,121.550098
65,Fengpu Avenue,30.94413078,121.4444632
66,Fengqiao Road,31.241817,121.411453
67,Fengxian Xincheng,30.91631428,121.4915344
68,Fengzhuang,31.242542,121.355195
69,Fujin Road,31.392249,121.424659
70,Fuxing Island,31.280526,121.561182
71,Gangcheng Road,31.353015,121.57484
72,Gaoqing Road,31.160087,121.515679
73,Gongfu Xincun,31.355179,121.434113
74,Gongkang Road,31.318957,121.447096
75,Guanglan Road,31.21105,121.621096
76,Guangming Road,31.296328,121.117279
77,Gucun Park,31.344808,121.372763
78,Gudai Road,31.14283,121.3876
79,Guilin Park,31.16899,121.415
80,Guilin Road,31.174761,121.418069
81,Guoquan Road,31.289302,121.510039
82,Gutang Road,31.26826101,121.6522711
83,Hailun Road,31.259275,121.488674
84,Haitiansan Road,31.168355,121.797051
85,Hangjin Road,31.335441,121.593981
86,Hangzhong Road,31.165853,121.355162
87,Hanzhong Road,31.24162,121.458321
