ID,Node,Lat,Lon
1,Allawah,-33.96943,151.114678
2,Arncliffe,-33.93639,151.154867
3,Artarmon,-33.80949,151.184363
4,Ashfield,-33.887763,151.125669
5,Asquith,-33.686601,151.101074
6,Auburn,-33.853333,151.032778
7,Banksia,-33.936192,151.14434
8,Bankstown,-33.917109,151.032289
9,Beecroft,-33.737285,151.055374
10,Belmore,-33.916895,151.088667
11,Berowra,-33.625873,151.150205
12,Blacktown,-33.770556,150.907778
13,Bondi Junction,-33.891933,151.24953
14,Burwood,-33.877577,151.103243
15,Cabramatta,-33.891848,150.936689
16,Campbelltown,-34.065543,150.814961
17,Campsie,-33.910703,151.101579
18,Canley Vale,-33.891502,150.943546
19,Canterbury,-33.917757,151.119776
20,Caringbah,-34.037547,151.126623
21,Carlton,-33.967337,151.125066
22,Casula,-33.950978,150.912542
23,Central,-33.884169,151.207114
24,Chatswood,-33.796772,151.183551
25,Cheltenham,-33.751753,151.075095
26,Circular Quay,-33.861481,151.210989
27,Clarendon,-33.560833,150.766389
28,Clyde,-33.831667,151.024722
29,Como,-34.008564,151.067523
30,Concord West,-33.854913,151.087858
31,Cronulla,-34.05526,151.152706
32,Denistone,-33.803468,151.10146
33,Domestic Airport,-33.936944,151.169722
34,Dulwich Hill,-33.911064,151.138078
35,East Richmond,-33.592056,150.774278
36,Eastwood,-33.789475,151.082517
37,Edgecliff,-33.886544,151.237623
38,Edmondson Park,-33.940282,150.868603
39,Epping,-33.772303,151.082255
40,Erskineville,-33.899992,151.18527
41,Fairfield,-33.872084,150.95434
42,Glenfield,-33.983306,150.911303
43,Gordon,-33.754881,151.151904
44,Granville,-33.833889,151.009167
45,Green Square,-33.902015,151.200021
46,Guildford,-33.847868,150.99466
47,Gymea,-34.035097,151.085196
48,Harris Park,-33.821389,151.0075
49,Holsworthy,-33.973047,150.952349
50,Hornsby,-33.703884,151.097573
51,Hurlstone Park,-33.905865,151.134342
52,Hurstville,-33.967938,151.10249
53,Ingleburn,-33.998914,150.869668
54,International Airport,-33.939444,151.175278
55,Jannali,-34.017542,151.063329
56,Killara,-33.763237,151.159249
57,Kings Cross,-33.874808,151.222267
58,Kirrawee,-34.033339,151.072159
59,Kogarah,-33.964313,151.133678
60,Lakemba,-33.916162,151.076011
61,Leppington,-33.927158,150.855978
62,Leumeah,-34.05155,150.820633
63,Lewisham,-33.893732,151.149853
64,Lidcombe,-33.861667,151.045833
65,Lindfield,-33.775781,151.166297
66,Liverpool,-33.917707,150.928085
67,Macquarie Fields,-33.997925,150.866309
68,Marayong,-33.7425,150.899722
69,Marrickville,-33.910852,151.155979
70,Martin Place,-33.86766,151.210307
71,Mascot,-33.933437,151.187982
72,Meadowbank,-33.813605,151.087436
73,Merrylands,-33.839117,150.988867
74,Milsons Point,-33.847514,151.209579
75,Minto,-34.024192,150.85778
76,Miranda,-34.03303,151.09966
77,Mortdale,-33.969816,151.070636
78,Mount Colah,-33.680328,151.116062
79,Mount Kuring-Gai,-33.676497,151.130668
80,Mulgrave,-33.666944,150.855833
81,Museum,-33.874729,151.208969
82,Normanhurst,-33.719951,151.09997
83,North Strathfield,-33.862415,151.095818
84,North Sydney,-33.839817,151.207113
85,Oatley,-33.977972,151.080433
86,Olympic Park,-33.84544,151.063372
87,Padstow,-33.947376,151.025556
88,Parramatta,-33.815833,151.004722
89,Pendle Hill,-33.805556,150.949167
90,Pennant Hills,-33.73701,151.072682
91,Penshurst,-33.961936,151.081547
92,Petersham,-33.8964,151.16379
93,Punchbowl,-33.929381,151.0578
94,Pymble,-33.751776,151.131377
95,Quakers Hill,-33.730278,150.874722
96,Redfern,-33.891667,151.204167
97,Rhodes,-33.831222,151.085548
98,Richmond,-33.599722,150.758056
99,Riverstone,-33.678056,150.8625
100,Riverwood,-33.951075,151.055621
101,Rockdale,-33.950379,151.137509
102,Roseville,-33.788149,151.180199
103,Schofields,-33.693611,150.869722
104,Seven Hills,-33.778889,150.942778
105,St James,-33.918058,151.232823
106,St Leonards,-33.82334,151.194906
107,St Peters,-33.912219,151.175764
108,Strathfield,-33.873611,151.087222
109,Summer Hill,-33.891343,151.13374
110,Sutherland,-34.033311,151.057576
111,Sydenham,-33.914483,151.166381
112,Tempe,-33.918228,151.164206
113,Thornleigh,-33.732743,151.081035
114,Toongabbie,-33.796944,150.9425
115,Town Hall,-33.873138,151.206782
116,Turramurra,-33.731813,151.125372
117,Vineyard,-33.681667,150.8675
118,Wahroonga,-33.716398,151.121842
119,Waitara,-33.709093,151.109339
120,Warrawee,-33.712628,151.130141
121,Warwick Farm,-33.918613,150.93925
122,Waverton,-33.838465,151.19705
123,Wentworthville,-33.810833,150.963611
124,West Ryde,-33.809043,151.090628
125,Westmead,-33.811389,150.984722
126,Wiley Park,-33.919086,151.073667
127,Windsor,-33.609722,150.821944
128,Wolli Creek,-33.929568,151.154554
129,Wollstonecraft,-33.831839,151.194343
130,Woolooware,-34.04642,151.137437
131,Wynyard,-33.865143,151.205377
132,Yennora,-33.864957,150.973628
