Type,Source,Node1,Target,Node2
T1 NSL,Central,23,Town Hall,115
T1 NSL,Town Hall,115,Wynyard,131
T1 NSL,Wynyard,131,Milsons Point,74
T1 NSL,Milsons Point,74,North Sydney,84
T1 NSL,North Sydney,84,Waverton,122
T1 NSL,Waverton,122,Wollstonecraft,129
T1 NSL,Wollstonecraft,129,St Leonards,106
T1 NSL,St Leonards,106,Artarmon,3
T1 NSL,Artarmon,3,Chatswood,24
T1 NSL,Chatswood,24,Roseville,102
T1 NSL,Roseville,102,Lindfield,65
T1 NSL,Lindfield,65,Killara,56
T1 NSL,Killara,56,Gordon,43
T1 NSL,Gordon,43,Pymble,94
T1 NSL,Pymble,94,Turramurra,116
T1 NSL,Turramurra,116,Warrawee,120
T1 NSL,Warrawee,120,Wahroonga,118
T1 NSL,Wahroonga,118,Waitara,119
T1 NSL,Waitara,119,Hornsby,50
T1 NSL,Hornsby,50,Asquith,5
T1 NSL,Asquith,5,Mount Colah,78
T1 NSL,Mount Colah,78,Mount Kuring-Gai,79
T1 NSL,Mount Kuring-Gai,79,Berowra,11
T1 WL,Richmond,98,East Richmond,35
T1 WL,East Richmond,35,Clarendon,27
T1 WL,Clarendon,27,Windsor,127
T1 WL,Windsor,127,Mulgrave,80
T1 WL,Mulgrave,80,Vineyard,117
T1 WL,Vineyard,117,Riverstone,99
T1 WL,Riverstone,99,Schofields,103
T1 WL,Schofields,103,Quakers Hill,95
T1 WL,Quakers Hill,95,Marayong,68
T1 WL,Marayong,68,Blacktown,12
T1 WL,Blacktown,12,Seven Hills,104
T1 WL,Seven Hills,104,Toongabbie,114
T1 WL,Toongabbie,114,Pendle Hill,89
T1 WL,Pendle Hill,89,Wentworthville,123
T1 WL,Wentworthville,123,Westmead,125
T1 WL,Westmead,125,Parramatta,88
T1 WL,Parramatta,88,Harris Park,48
T1 WL,Harris Park,48,Granville,44
T1 WL,Granville,44,Clyde,28
T1 WL,Clyde,28,Auburn,6
T1 WL,Auburn,6,Lidcombe,64
T1 WL,Lidcombe,64,Strathfield,108
T1 WL,Strathfield,108,Redfern,96
T1 WL,Redfern,96,Central,23
T2,Central,23,Town Hall,115
T2,Town Hall,115,Wynyard,131
T2,Wynyard,131,Circular Quay,26
T2,Circular Quay,26,St James,105
