Source,Target
121,87
87,112
112,196
196,25
25,186
186,151
151,95
95,17
17,156
156,34
34,187
187,116
116,118
118,38
38,9
9,84
84,8
8,48
48,144
88,179
179,178
178,95
95,154
154,142
142,206
206,33
33,145
145,58
58,182
182,65
65,27
27,152
152,181
181,126
126,161
161,56
56,55
55,100
100,158
158,159
159,30
30,129
129,188
188,168
168,127
170,173
173,5
5,49
49,83
83,58
58,135
135,57
57,13
13,28
28,99
99,69
69,184
184,123
123,140
140,39
39,20
20,50
50,97
97,175
175,101
194,172
172,40
40,213
213,212
212,211
211,51
51,65
65,46
46,209
209,166
166,84
84,148
148,99
99,74
74,98
98,205
205,59
59,204
204,177
177,17
17,2
2,12
12,146
146,7
7,78
78,218
218,170
170,194
194,125
125,110
110,37
37,107
107,134
134,160
160,113
113,200
200,114
114,41
162,174
174,79
79,198
198,193
193,169
169,137
137,143
155,141
141,21
21,7
7,4
4,190
190,199
199,156
156,22
22,85
85,116
116,96
96,63
63,180
180,208
208,207
207,53
53,192
192,8
136,90
90,163
163,36
36,164
164,110
110,124
124,170
170,173
173,171
171,217
217,216
216,4
4,77
77,66
66,22
22,197
197,145
145,10
10,132
132,47
47,81
81,103
103,167
167,52
45,109
109,111
111,110
105,18
18,43
43,146
146,61
61,66
66,33
33,22
22,34
34,203
203,31
31,67
67,118
118,75
75,6
6,106
106,207
207,54
54,94
94,92
92,73
108,133
133,185
185,215
215,60
60,51
51,83
83,189
189,145
145,116
116,67
67,98
98,68
68,201
201,93
93,120
120,64
64,210
210,91
91,26
26,102
102,14
14,119
220,219
219,89
89,141
141,131
131,3
3,77
77,66
66,33
33,117
117,145
145,165
165,222
222,115
115,150
150,122
122,86
86,73
73,11
11,71
214,16
16,15
15,32
32,42
42,82
82,153
153,62
62,52
52,35
35,24
24,19
19,51
51,49
49,76
76,104
104,149
149,221
221,23
23,176
176,205
205,202
202,191
191,162
155,141
141,7
7,104
104,29
29,83
83,58
58,145
145,96
96,183
183,74
74,184
184,70
70,144
88,179
179,178
178,12
12,147
147,190
190,104
104,216
216,49
49,51
51,81
81,195
195,44
44,80
80,130
130,138
138,139
139,157
157,1
214,16
16,15
15,32
32,42
42,82
82,153
153,62
62,52
52,223
223,128
128,40
40,173
173,72
72,89
89,155
