ID,Node,Lat,Lon
1,Akabane-Iwabuchi,35.783503,139.721822
2,Akabanebashi,35.655002,139.743543
3,Akasaka,35.672211,139.736381
4,Akasaka-Mitsuke,35.676795,139.737268
5,Akebonobashi,35.692376,139.722629
6,Akihabara,35.698352,139.773114
7,Aoyama-itchome,35.672897,139.723774
8,Asakusa,35.71052,139.797864
9,Asakusabashi,35.697416,139.784457
10,Awajich?,35.694959,139.767459
11,Ayase,35.762216,139.824948
12,Azabu-juban,35.656398,139.736601
13,Bakuro-yokoyama,35.691963,139.78297
14,Baraki-Nakayama,35.703165,139.941602
15,Chikatetsu-akatsuka,35.769975,139.644024
16,Chikatetsu-narimasu,35.776697,139.63119
17,Daimon,35.656529,139.754388
18,Ebisu,35.647156,139.709739
19,Edogawabashi,35.709234,139.734101
20,Funabori,35.683796,139.863952
21,Gaiemmae,35.670399,139.717825
22,Ginza,35.671405,139.765354
23,Ginza-itchome,35.674393,139.76698
24,Gokokuji,35.720198,139.726816
25,Gotanda,35.626159,139.723601
26,Gy?toku,35.682603,139.914141
27,Hakusan,35.721478,139.752402
28,Hamacho,35.688479,139.787936
29,Hanz?mon,35.685377,139.741658
30,Hasune,35.784197,139.679019
31,Hatchobori,35.674597,139.777807
32,Heiwadai,35.75756,139.654329
33,Hibiya,35.67489,139.759604
34,Higashi-ginza,35.6697,139.76714
35,Higashi-ikebukuro,35.725899,139.718824
36,Higashi-K?enji,35.697928,139.658274
37,Higashi-nakano,35.706228,139.683809
38,Higashi-nihombashi,35.6921,139.784748
39,Higashi-ojima,35.689906,139.847508
40,Higashi-shinjuku,35.69793,139.707408
41,Hikarigaoka,35.758449,139.628941
42,Hikawadai,35.749562,139.665466
43,Hiroo,35.651519,139.722159
44,Hon-Komagome,35.72504,139.753654
45,H?nanch?,35.683485,139.657914
46,Hongo-sanchome,35.706722,139.759834
47,Hong?-Sanch?me,35.706721,139.759834
48,Honjo-azumabashi,35.708607,139.804566
49,Ichigaya,35.691626,139.736108
50,Ichinoe,35.685936,139.882978
51,Iidabashi,35.701125,139.7431
52,Ikebukuro,35.729502,139.710899
53,Inarich?,35.711374,139.782207
54,Iriya,35.720541,139.784457
55,Itabashihoncho,35.761259,139.705533
56,Itabashikuyakushomae,35.751258,139.710017
57,Iwamotocho,35.695571,139.77518
58,Jimbocho,35.695932,139.757627
59,Kachidoki,35.658978,139.777148
60,Kagurazaka,35.703819,139.734518
61,Kamiyacho,35.662629,139.744741
62,Kanamecho,35.733147,139.698494
63,Kanda,35.692141,139.771223
64,Kasai,35.663578,139.872924
65,Kasuga,35.709986,139.753265
66,Kasumigaseki,35.67246,139.751683
67,Kayabach?,35.679045,139.779625
68,Kiba,35.669372,139.807154
69,Kikukawa,35.688212,139.806365
70,Kinshich?,35.697148,139.813786
71,Kita-ayase,35.776868,139.832119
