ID,Node,Lat,Lon
1,Akabane-Iwabuchi,139.721822,35.783503
2,Akabanebashi,139.743543,35.655002
3,Akasaka,139.736381,35.672211
4,Akasaka-Mitsuke,139.737268,35.676795
5,Akebonobashi,139.722629,35.692376
6,Akihabara,139.773114,35.698352
7,Aoyama-itchome,139.723774,35.672897
8,Asakusa,139.797864,35.71052
9,Asakusabashi,139.784457,35.697416
10,Awajich?,139.767459,35.694959
11,Ayase,139.824948,35.762216
12,Azabu-juban,139.736601,35.656398
13,Bakuro-yokoyama,139.78297,35.691963
14,Baraki-Nakayama,139.941602,35.703165
15,Chikatetsu-akatsuka,139.644024,35.769975
16,Chikatetsu-narimasu,139.63119,35.776697
17,Daimon,139.754388,35.656529
18,Ebisu,139.709739,35.647156
19,Edogawabashi,139.734101,35.709234
20,Funabori,139.863952,35.683796
21,Gaiemmae,139.717825,35.670399
22,Ginza,139.765354,35.671405
23,Ginza-itchome,139.76698,35.674393
24,Gokokuji,139.726816,35.720198
25,Gotanda,139.723601,35.626159
26,Gy?toku,139.914141,35.682603
27,Hakusan,139.752402,35.721478
28,Hamacho,139.787936,35.688479
29,Hanz?mon,139.741658,35.685377
30,Hasune,139.679019,35.784197
31,Hatchobori,139.777807,35.674597
32,Heiwadai,139.654329,35.75756
33,Hibiya,139.759604,35.67489
34,Higashi-ginza,139.76714,35.6697
35,Higashi-ikebukuro,139.718824,35.725899
36,Higashi-K?enji,139.658274,35.697928
37,Higashi-nakano,139.683809,35.706228
38,Higashi-nihombashi,139.784748,35.6921
39,Higashi-ojima,139.847508,35.689906
40,Higashi-shinjuku,139.707408,35.69793
41,Hikarigaoka,139.628941,35.758449
42,Hikawadai,139.665466,35.749562
43,Hiroo,139.722159,35.651519
44,Hon-Komagome,139.753654,35.72504
45,H?nanch?,139.657914,35.683485
46,Hongo-sanchome,139.759834,35.706722
47,Hong?-Sanch?me,139.759834,35.706721
48,Honjo-azumabashi,139.804566,35.708607
49,Ichigaya,139.736108,35.691626
50,Ichinoe,139.882978,35.685936
51,Iidabashi,139.7431,35.701125
52,Ikebukuro,139.710899,35.729502
53,Inarich?,139.782207,35.711374
54,Iriya,139.784457,35.720541
55,Itabashihoncho,139.705533,35.761259
56,Itabashikuyakushomae,139.710017,35.751258
57,Iwamotocho,139.77518,35.695571
58,Jimbocho,139.757627,35.695932
59,Kachidoki,139.777148,35.658978
60,Kagurazaka,139.734518,35.703819
61,Kamiyacho,139.744741,35.662629
62,Kanamecho,139.698494,35.733147
63,Kanda,139.771223,35.692141
64,Kasai,139.872924,35.663578
65,Kasuga,139.753265,35.709986
66,Kasumigaseki,139.751683,35.67246
67,Kayabach?,139.779625,35.679045
68,Kiba,139.807154,35.669372
69,Kikukawa,139.806365,35.688212
70,Kinshich?,139.813786,35.697148
71,Kita-ayase,139.832119,35.776868
72,Kita-sando,139.705105,35.678905
73,Kita-senju,139.804702,35.749719
74,Kiyosumi-shirakawa,139.798777,35.682251
75,Kodemmacho,139.778492,35.690732
76,Kojimachi,139.737254,35.684992
77,Kokkai-Gijid?-mae,139.743267,35.673766
78,Kokuritsu-kyogijo,139.714389,35.679745
79,Kokusai-Tenjij?,139.791635,35.634512
80,Komagome,139.74701,35.736565
81,K?rakuen,139.751821,35.708486
82,Kotake-mukaihara,139.679521,35.74334
83,Kudanshita,139.751154,35.695481
84,Kuramae,139.790791,35.703098
85,Ky?bashi,139.770044,35.676679
86,Machiya,139.781386,35.742232
87,Magome,139.711829,35.596385
88,Meguro,139.715585,35.633471
89,Meiji-jingumae,139.705377,35.668485
90,Minami-Asagaya,139.635551,35.699454
91,Minami-Gy?toku,139.902227,35.672716
92,Minami-senju,139.799056,35.733319
93,Minami-Sunamachi,139.831705,35.668381
94,Minowa,139.791233,35.729373
95,Mita,139.748561,35.647938
96,Mitsukoshimae,139.773569,35.687156
97,Mizue,139.89768,35.693264
98,Monzen-Nakach?,139.796069,35.671825
99,Morishita,139.798217,35.688055
100,Motohasunuma,139.702185,35.768811
101,Motoyawata,139.927389,35.720823
102,My?den,139.924363,35.691019
103,My?gadani,139.736779,35.717373
104,Nagatacho,139.741713,35.677794
105,Naka-meguro,139.699096,35.644287
106,Naka-okachimachi,139.776203,35.706628
107,Nakai,139.686265,35.713895
108,Nakano,139.665825,35.705407
109,Nakano-Fujimich?,139.667023,35.690624
110,Nakano-sakaue,139.68216,35.697068
111,Nakano-Shimbashi,139.674286,35.692501
112,Nakanobu,139.712755,35.605819
113,Nerima,139.653912,35.73784
114,Nerima-kasugacho,139.640583,35.751191
115,Nezu,139.765737,35.717345
116,Nihombashi,139.774685,35.682099
117,Nijubashimae,139.761851,35.680626
118,Ningyocho,139.782347,35.686239
119,Nishi-Funabashi,139.958966,35.707469
120,Nishi-Kasai,139.859203,35.664576
121,Nishi-magome,139.706091,35.587456
122,Nishi-nippori,139.766886,35.732004
123,Nishi-ojima,139.82602,35.689191
124,Nishi-Shinjuku,139.692808,35.694143
125,Nishi-shinjuku-gochome,139.684545,35.689887
126,Nishi-sugamo,139.728572,35.743327
127,Nishi-takashimadaira,139.645882,35.791889
128,Nishi-waseda,139.709148,35.707814
129,Nishidai,139.672796,35.787057
130,Nishigahara,139.742238,35.745925
131,Nogizaka,139.726242,35.666488
132,Ochanomizu,139.764202,35.700611
133,Ochiai,139.686133,35.710622
134,Ochiai-minami-nagasaki,139.683476,35.723402
135,Ogawamachi,139.766843,35.695131
136,Ogikubo,139.619051,35.704497
137,?imachi,139.73493,35.606218
138,?ji,139.738238,35.752285
139,?ji-Kamiya,139.735627,35.765423
140,Ojima,139.834326,35.689722
141,Omotesand?,139.705399,35.66845
142,Onarimon,139.751238,35.660563
143,?saki,139.728187,35.620022
144,Oshiage,139.813297,35.710332
145,?temachi,139.762707,35.683469
146,Roppongi,139.731217,35.662724
147,Roppongi-Itch?me,139.738991,35.665463
148,Ryogoku,139.797468,35.696767
149,Sakuradamon,139.75138,35.677293
150,Sendagi,139.763348,35.725761
151,Sengakuji,139.739713,35.638132
152,Sengoku,139.744866,35.727875
153,Senkawa,139.689437,35.738091
154,Shibakoen,139.750022,35.654643
155,Shibuya,139.701635,35.658034
156,Shimbashi,139.758332,35.666192
157,Shimo,139.732238,35.778422
158,Shimura-sakaue,139.695352,35.775814
159,Shimura-sanchome,139.686083,35.777528
160,Shin-egota,139.670439,35.732592
161,Shin-itabashi,139.720929,35.748976
162,Shin-Kiba,139.826694,35.645902
163,Shin-K?enji,139.648272,35.697819
164,Shin-Nakano,139.66982,35.697655
