Line,Source,Target
Red Line,67,64
Red Line,64,77
Red Line,77,89
Red Line,89,41
Red Line,41,50
Red Line,50,7
Red Line,7,35
Red Line,35,76
Red Line,76,82
Red Line,82,15
Red Line,15,91
Red Line,91,23
Red Line,23,27
Red Line,27,51
Red Line,51,36
Red Line,36,43
Red Line,43,80
Red Line,80,58
Red Line,58,63
Red Line,63,10
Red Line,10,33
Red Line,33,75
Red Line,75,69
Red Line,69,32
Red Line,32,88
Red Line,88,38
Blue Line,34,81
Blue Line,81,44
Blue Line,44,8
Blue Line,8,65
Blue Line,65,20
Blue Line,20,60
Blue Line,60,59
Blue Line,59,4
Blue Line,4,66
Blue Line,66,31
Blue Line,31,28
Blue Line,28,49
Blue Line,49,51
Blue Line,51,30
Blue Line,30,70
Blue Line,70,45
Blue Line,45,29
Blue Line,29,12
Blue Line,12,25
Blue Line,25,61
Blue Line,61,73
Blue Line,73,6
Blue Line,6,11
Blue Line,11,1
Blue Line,1,53
Blue Line,53,47
Orange Line,83,22
Orange Line,22,86
Orange Line,86,24
Orange Line,24,5
Orange Line,5,84
Orange Line,84,14
Orange Line,14,19
Orange Line,19,66
Orange Line,66,31
Orange Line,31,28
Orange Line,28,49
Orange Line,49,51
Orange Line,51,30
Orange Line,30,70
Orange Line,70,45
Orange Line,45,29
Orange Line,29,12
Orange Line,12,25
Orange Line,25,61
Orange Line,61,73
Orange Line,73,52
Orange Line,52,21
Orange Line,21,13
Orange Line,13,46
Orange Line,46,57
Yellow Line,42,26
Yellow Line,26,44
Yellow Line,44,8
Yellow Line,8,65
Yellow Line,65,20
Yellow Line,20,60
Yellow Line,60,59
Yellow Line,59,45
Yellow Line,45,3
Yellow Line,3,36
Yellow Line,36,54
Yellow Line,54,68
Yellow Line,68,79
Yellow Line,79,17
Yellow Line,17,37
Yellow Line,37,33
Green Line,9,74
Green Line,74,56
Green Line,56,71
Green Line,71,18
Green Line,18,2
Green Line,2,55
Green Line,55,85
Green Line,85,45
Green Line,45,3
Green Line,3,36
Green Line,36,54
Green Line,54,68
Green Line,68,79
Green Line,79,17
Green Line,17,37
Green Line,37,33
Green Line,33,87
Green Line,87,62
Green Line,62,16
Green Line,16,39
Silver Line,90,72
Silver Line,72,40
Silver Line,40,78
Silver Line,78,48
Silver Line,48,24
Silver Line,24,5
Silver Line,5,84
Silver Line,84,14
Silver Line,14,19
Silver Line,19,66
Silver Line,66,31
Silver Line,31,28
Silver Line,28,49
Silver Line,49,51
Silver Line,51,30
Silver Line,30,70
Silver Line,70,45
Silver Line,45,29
Silver Line,29,12
Silver Line,12,25
Silver Line,25,61
Silver Line,61,73
Silver Line,73,6
Silver Line,6,11
Silver Line,11,1
Silver Line,1,53
Silver Line,53,47
